# Phase 206 (D-10/D-11): committed CC0 lichess puzzle set for Train's sharp
# filler. Rows are COPIED from fixtures/tagger/detector_fixture_{train,test}.csv
# and are APPEND-ONLY -- never delete a row, since an in-flight drill_solves row
# may reference its puzzle_id (D-10's no-repeat key). Generated once by
# scripts/gen_sharp_filler_set.py; every row cleared a real offline Stockfish
# MultiPV-5 sharpness check (D-13) before being committed here.
puzzle_id,fen,first_move_uci,solution_uci,ply,side_to_move,motif,rating,themes
14aLe,5rk1/5ppp/2Q1p3/3pP3/8/8/3N1qnP/1R1K1R2 b - - 1 25,e1f1,g2e3,49,black,Fork,1231,crushing fork middlegame short
15cjE,r2q1rk1/pbpn1ppp/1p6/4N3/8/3B4/P2BQPPP/R4RK1 b - - 2 14,e1g1,d7e5,27,black,Discovered attack,1004,advantage capturingDefender discoveredAttack middlegame short
16TEi,8/1p2P1p1/p7/7p/1P6/P2R2P1/2Kpr1kP/8 w - - 3 44,f3g2,d3d2,86,white,Pin,1157,crushing endgame pin rookEndgame short
16ds8,r4r2/1pN4k/3p2pp/p3pBq1/3bPp2/P2P4/1PP1Q3/2KR3R b - - 0 21,d5c7,f4f3,41,black,Pin,1338,crushing discoveredAttack discoveredCheck middlegame pin short
17gdK,rnq2rk1/pp1b2p1/2pb2np/3p4/3P1pB1/2N2N1Q/PPP2PPP/R1B1R1K1 b - - 3 16,f1e1,d7g4,31,black,Trapped piece,1009,crushing opening short trappedPiece
19qcT,Q7/5pkp/2n3p1/3qN3/8/7P/5PP1/6K1 b - - 0 40,f3e5,d5d1,79,black,Intermezzo,1059,crushing endgame intermezzo master short
1EJRn,r4rk1/p1p3pp/2pp2Q1/6b1/2PP4/4RN2/PP4PP/5RK1 b - - 0 23,d3g6,g5e3,45,black,Hanging piece,1150,crushing hangingPiece intermezzo middlegame short
1GpfZ,4k3/1p4Q1/2b4p/8/5KP1/2N4P/P5q1/8 b - - 2 36,g3f4,g2f3,71,black,Interference,1337,crushing endgame interference master short
1LOpx,6r1/2R5/p3pk2/1p2n3/3R4/P3P2P/1P4r1/5K2 w - - 6 40,e7f6,d4f4,78,white,Interference,1250,crushing endgame interference master short
1LiEp,r4rk1/5ppp/p2p1n2/2qn4/P1NN4/1PP5/5PPP/R2Q1RK1 b - - 1 20,b5d4,d5c3,39,black,Capturing the defender,1118,capturingDefender crushing middlegame short
1LxtV,r6r/1b2kpQ1/p3p2p/B1p1P3/3P4/2P2P1P/q5P1/4R1K1 w - - 1 28,e8e7,g7f6,54,white,Interference,1175,advantage interference middlegame short
1NW2d,3k4/1b1n1p2/p4b2/5N2/1p2q3/3Q4/PP3B2/1K6 w - - 1 38,c6e4,f2b6,74,white,Pin,1366,crushing master middlegame pin short
1O4Qe,r3k2r/ppp1bpp1/2n1pn1p/8/3q3B/P1NQ1B2/1PP2PPP/R3K2R w KQkq - 0 12,d8d4,f3c6,22,white,Intermezzo,1059,crushing intermezzo middlegame short
1OGhi,r4knr/pNqp1ppp/1pB5/4p3/2Pb1B2/P5P1/1P2PP1P/R2Q1RK1 b - - 0 14,g2c6,c7c6,27,black,Trapped piece,1172,advantage middlegame short trappedPiece
1R21N,r4rk1/1pq3pp/p7/3P1p2/P2ppb2/6P1/BP3P1P/R4QK1 w - - 0 21,d6f4,d5d6,40,white,Discovered attack,1008,advancedPawn advantage discoveredAttack discoveredCheck interference middlegame short
1RuyE,3r1k2/5p1p/p3p1p1/2r5/5P2/P1B3P1/1P3K1P/R7 w - - 3 33,g8f8,c3b4,64,white,Pin,1067,advantage endgame pin short
1SThj,2r2r1k/4p1bp/p1b2np1/q3p3/NpB5/1P3P2/P4BPP/R2QR1K1 w - - 1 24,b8c8,f2b6,46,white,Trapped piece,1271,advantage middlegame short trappedPiece
1VMHD,r3k2r/1ppqbpQp/p2p4/8/4P1n1/2N5/PPP2PPP/R1B2RK1 b kq - 0 12,d4g7,e7f6,23,black,Trapped piece,1241,crushing middlegame short trappedPiece
1VZcm,rn2kb1r/p3qp1p/2p3p1/4n3/B2BQ3/P7/1P3PPP/RN2K2R b KQkq - 1 15,e3d4,e5d3,29,black,Pin,1105,crushing discoveredAttack opening pin short
1XeD2,2kr3r/pppb2p1/2n1pp1p/3pP1q1/3P4/2PBPQP1/PP1N2P1/2KR3R w - - 0 15,f7f6,h1h5,28,white,Trapped piece,1389,advantage middlegame short trappedPiece
1au1z,QK6/3N4/4k3/6p1/6P1/r7/8/8 b - - 0 76,b6d7,a3a8,151,black,Intermezzo,1047,crushing endgame intermezzo short
1e1lP,r4rk1/pp3qpp/2p2p2/4nN2/8/2P3QP/1P4P1/3R1RK1 w - - 4 24,a2f7,f5h6,46,white,Pin,1108,advantage kingsideAttack middlegame pin short
1ehil,8/p6Q/8/8/P3K3/8/5q2/5k2 b - - 0 45,f7h7,f2c2,89,black,Skewer,1244,crushing endgame master queenEndgame short skewer
1jmjd,7k/3n2p1/1P2Q3/3r3p/K6P/6P1/8/8 b - - 0 48,b5b6,d7c5,95,black,Fork,1351,crushing discoveredAttack discoveredCheck endgame fork master short
1l1do,8/3k1p1p/6p1/R2K4/3P4/4PP2/pr4PP/8 b - - 0 34,e5d5,b2b5,67,black,Deflection,1190,advancedPawn crushing deflection endgame promotion rookEndgame short
1mqpv,3rk2r/ppp4n/4p1p1/4nq1p/4Np1P/P1PB1P2/1PK5/R5QR w k - 2 26,c6e5,e4d6,50,white,Discovered attack,1298,crushing discoveredAttack middlegame short
1oire,2r3k1/pQ3pp1/5q1p/8/8/7P/PP2rPP1/4R1K1 w - - 0 28,c2e2,b7c8,54,white,Hanging piece,1118,crushing endgame hangingPiece intermezzo short
1r2N6,2r2rk1/2q2ppp/4p3/pp1pn3/2pN4/P1P1P1BP/1PQ3P1/R3K2R b KQ - 0 20,f2e3,e5d3,39,black,Discovered attack,1023,advantage discoveredAttack middlegame short
1w7LO,3r1rk1/6pp/1p2p3/p1p1P1R1/2P1QP1q/1P5P/P5PK/R7 b - - 5 33,h1h2,f8f4,65,black,Capturing the defender,1183,capturingDefender crushing endgame short
22CIm,2rq1rk1/p4p1p/5bp1/3Q4/8/2N1P2P/PPP2PP1/R3K2R b KQ - 0 16,c6d5,f6c3,31,black,Intermezzo,1077,crushing intermezzo middlegame short
22Y6p,8/8/8/2R2KP1/7k/8/2P5/6r1 b - - 6 62,e4f5,g1g5,123,black,Skewer,1038,crushing endgame rookEndgame short skewer
24xlO,1n4k1/5ppp/4p3/1q1pP3/3P4/bP1bBN1P/p1rN1PPK/Q1R5 w - - 2 31,e7a3,c1c2,60,white,Capturing the defender,1165,advantage capturingDefender middlegame short
25Soc,r1bqk2r/pp3ppp/n4b2/2PQ4/8/2N2N2/PP2PPPP/R3KB1R b KQkq - 0 9,d1d5,f6c3,17,black,Intermezzo,1038,crushing intermezzo opening short
26KWC,8/3k3p/p5p1/1p2K3/1b4P1/1P4BP/P7/8 b - - 15 43,d5e5,b4d6,85,black,Skewer,1137,bishopEndgame crushing endgame short skewer
28wMi,r2q1rk1/pp3ppp/2p5/n2P2b1/PQ1P4/2N2BP1/1PR2P1P/3R2K1 b - - 0 20,e4d5,g5e7,39,black,Trapped piece,1022,crushing middlegame short trappedPiece
2ALXM,r1bkq1n1/ppp1b1Q1/5p2/3P1p2/1PBp4/2P5/P5PP/RNB1K2R b KQ - 0 16,e2c4,e7f8,31,black,Discovered attack,1306,crushing discoveredAttack discoveredCheck middlegame short
2BJtZ,r4rk1/pp1q1pbp/3Q2p1/4P3/3BBP2/1P4P1/R6P/R5K1 b - - 2 26,c5d6,d7d6,51,black,Capturing the defender,1013,advantage capturingDefender middlegame short
2C2Ek,r3r3/ppp2Npp/5k2/2b5/2Bn1qb1/2N5/PP3PPP/R3Q1K1 w - - 4 18,h8e8,c3d5,34,white,Fork,1296,advantage discoveredAttack discoveredCheck fork middlegame short
2EcL6,3r2k1/2p2pp1/1p3n1p/p1q1p3/P1b1Pn2/2P1Q2P/1PBN1PP1/3R2K1 w - - 0 25,e6c4,e3c5,48,white,Capturing the defender,1179,advantage capturingDefender intermezzo master middlegame short
2Fq0j,3rr1k1/1pp3p1/p4pNp/3p1q2/8/2P3B1/PP2QPPP/3RR1K1 b - - 0 22,e5g6,e8e2,43,black,Intermezzo,1157,advantage intermezzo middlegame short
2Gube,2r2rk1/pq3pb1/4pnpp/1pp1N3/7Q/P1PP2BP/1P3PP1/3RR1K1 b - - 1 25,c4h4,g6g5,49,black,Trapped piece,1184,crushing middlegame short trappedPiece
2H4Bp,r1b2r2/1p4k1/2pb4/p2p1p1p/P2P1PpP/1R1Nq1P1/1P3RB1/3Q2K1 w - - 0 28,e8e3,d3e5,54,white,Trapped piece,1389,crushing middlegame short trappedPiece
2HxfS,r1r3k1/pp2ppnp/3p1npQ/q2P1PN1/2P5/2N4P/PP2BP2/2R2RK1 b - - 0 19,g4f5,g7f5,37,black,Trapped piece,1315,advantage middlegame short trappedPiece
2IgH5,1r3bkr/4p1p1/8/p3R2p/3P3P/1N1Q4/q4PP1/6K1 w - - 5 28,a8b8,d3c4,54,white,Interference,1019,advantage interference master middlegame short
2KWHd,2r3k1/5bb1/8/8/4BP1p/4BK2/6PP/3R4 b - - 1 33,f2f3,f7h5,65,black,Discovered attack,1339,advantage discoveredAttack enPassant endgame master short
2N6QP,8/7p/3n3P/1p1pkP2/6K1/4P3/8/4B3 w - - 1 47,e4d6,e1g3,92,white,Skewer,1320,crushing deflection endgame short skewer
2OVzL,3r1rk1/pb1nbppp/1p2pn2/3qN1B1/3P4/3B1PN1/PP2Q1PP/2RR2K1 b - - 0 16,f2f3,d5d4,31,black,Interference,1324,advantage interference middlegame short
2Qpi6,6k1/1p2bppp/p7/2RnQ3/8/Pq4P1/1P3PBP/6K1 b - - 0 28,c1c5,b3d1,55,black,Intermezzo,1294,advantage endgame intermezzo short
2T1Fa,8/p4p2/7p/2kp4/r7/3K1P2/P3R1PP/8 b - - 0 33,e3d3,a4a3,65,black,Interference,1353,crushing endgame interference rookEndgame short
2UX3k,7r/p3nkpp/1q2Np2/8/QP1r1P2/P2p2P1/3R2BP/3R2K1 b - - 0 24,c5e6,d4b4,47,black,Discovered attack,1129,advantage discoveredAttack discoveredCheck middlegame short
2V5aB,8/5Rpk/Pb4p1/8/6P1/5K1P/r7/5B2 b - - 0 44,d7f7,a2f2,87,black,Fork,1132,advantage endgame fork short skewer
2ZTUh,2k5/2p2np1/ppp2bp1/7q/3PN3/2P1R1B1/PP3P2/4R1K1 w - - 0 29,b7b6,e4f6,56,white,Clearance,1182,clearance crushing master middlegame short
2fCf2,1r1r2k1/p4p1p/5p2/3p3P/4N3/1PP2RP1/P4P2/3K3R b - - 0 28,d2e4,d5e4,55,black,Discovered attack,1008,crushing discoveredAttack discoveredCheck endgame short
2frad,r2q1rk1/1p2bppp/p1n1pn2/3p2Bb/3P3Q/2PB1P2/PP2N1PP/RN3RK1 w - - 4 12,e8g8,g5f6,22,white,Capturing the defender,1120,advantage capturingDefender opening short
2funf,r4rk1/pb3ppp/1p2pn2/4R3/2Pq4/3B4/P4PPP/R1BQ2K1 w - - 0 15,d8d4,d3h7,28,white,Discovered attack,1155,crushing discoveredAttack kingsideAttack middlegame short
2jQk2,2kr4/p5pp/1p3p2/8/1Rp5/5P2/P3rP1P/3R2K1 w - - 0 23,d5c4,b4c4,44,white,Deflection,1036,advantage deflection endgame rookEndgame short
2ljAV,r1b2rk1/ppp2ppp/2p2n2/2b5/8/2N2QPP/PPqPBP2/R1B1K2R w KQ - 2 10,e8g8,e2d3,18,white,Trapped piece,1366,advantage master opening short trappedPiece
2mW8w,r2q1rk1/p5bp/2p3p1/1pN1pn2/2b5/2PB1Q2/PP3PPP/2KR3R w - - 0 19,e6c4,d3c4,36,white,Discovered attack,1376,advantage discoveredAttack middlegame short
2oKqG,r1b1k2r/p1p1q3/1bp2p2/6Bp/6n1/2N2N1P/PPP2PP1/R2QR1K1 b kq - 1 15,f1e1,b6f2,29,black,Fork,1128,advantage fork opening short
2os5Q,8/1q1Q1ppk/p1r1p2p/8/Np6/6P1/PP3PKP/3R4 b - - 2 32,d8d7,c6c7,63,black,Discovered attack,1230,crushing discoveredAttack discoveredCheck endgame short
2pwZE,q1r3k1/5p1p/3Ppp2/3p4/3P4/2RQ2PP/5P2/6K1 b - - 0 26,c1c3,a8a1,51,black,Intermezzo,1036,crushing endgame intermezzo short
2qNwf,8/5pk1/B1q2b1p/P4p2/3Bp2P/6P1/P2Q1PK1/8 b - - 0 35,b2d4,e4e3,69,black,Discovered attack,1081,advancedPawn crushing discoveredAttack discoveredCheck endgame short
2rGnB,6k1/p3b2p/1p4pP/3p4/3P1P2/2P2rP1/PP1Kb3/6R1 w - - 0 34,a6e2,d2e2,66,white,Trapped piece,1047,advantage endgame short trappedPiece
2sKxd,2kr3r/pp5p/6pP/2p1p3/3pPpRP/P2P3q/1PP1QP2/2KR4 b - - 1 21,g1g4,f4f3,41,black,Interference,1186,advantage endgame interference master short
2uNbz,8/p5k1/8/1R3K2/5PpP/6P1/rp4P1/8 b - - 1 39,e4f5,a2a5,77,black,Pin,1375,advancedPawn crushing deflection endgame master pin promotion rookEndgame short
30GUj,4r3/1p2rppk/6qp/1P6/2PQpP2/4R2P/6P1/4R1K1 b - f3 0 35,f2f4,e4f3,69,black,Pin,1386,crushing deflection discoveredAttack enPassant endgame pin short
31PDz,2b5/6k1/4p1p1/1p1pP2p/p1pP1K1P/P1P5/1P6/1B6 w - - 0 50,h7g6,f4g5,98,white,Intermezzo,1265,bishopEndgame crushing endgame intermezzo short
31qbZ,r1bq1rk1/1p1n1pbp/p2N2p1/3Pp1N1/PP2P1n1/4B3/2Q1BPPP/R4RK1 b - - 2 16,f3g5,g4e3,31,black,Capturing the defender,1027,advantage capturingDefender middlegame short
34H3U,4Q3/1p3R2/3p2p1/1p1P2k1/8/4K3/5r1r/8 b - - 6 50,f3e3,f2e2,99,black,Skewer,1161,crushing endgame master masterVsMaster queenRookEndgame short skewer
3CISD,8/R3P3/4r1kp/5p1p/8/5P2/5K2/8 w - - 0 46,f6f5,a7a6,90,white,Pin,1301,advancedPawn crushing deflection endgame pin promotion rookEndgame short
3Dc1E,2r3bQ/4k3/3p4/2pBp2P/1p6/3q4/1P3PP1/6K1 w - - 0 42,f5d3,h8g7,82,white,Interference,1133,advantage endgame interference short
3Dv99,5rk1/1rp1npp1/p6p/Pp2pN2/1P2q3/2PPP3/6PP/R4RK1 w - - 0 22,d5e4,f5e7,42,white,Hanging piece,1294,crushing hangingPiece intermezzo kingsideAttack middlegame short
3JXS8,5r2/5P1p/8/6PP/k7/8/p7/5RK1 b - - 0 46,h4h5,f8f7,91,black,Deflection,1296,advancedPawn advantage deflection endgame master promotion rookEndgame short
3Nzf9,8/4RP1k/1p4qp/p4r2/8/4r1P1/1P1R1PK1/8 w - - 0 45,e5e3,f7f8n,88,white,Discovered check,1313,advancedPawn crushing discoveredCheck doubleCheck endgame master promotion short underPromotion
3OVFw,4rrk1/pp1R1pp1/2n4p/3Q4/8/2PPB2P/Pq3PP1/2R3K1 b - - 1 21,a1c1,e8e3,41,black,Capturing the defender,1157,advantage capturingDefender middlegame short
3Rmuf,5rk1/p1p3p1/2p5/6p1/3pN1Qq/3P1P1n/PPP5/R4R1K b - - 2 29,g2g4,h3f2,57,black,Fork,1186,advantage discoveredCheck doubleCheck fork middlegame short
3SQZK,r3rnk1/p3ppb1/1p1p2p1/3P2qp/2PN1Q2/4P1N1/P4P1B/1R3RK1 b - - 3 23,e4f4,g5f4,45,black,Capturing the defender,1057,advantage capturingDefender middlegame short
3aJR3,r1q1r1k1/1pp2pPp/p5p1/4Q3/4N3/4n2P/PPP5/2K4R w - - 1 23,f8e8,e4f6,44,white,Fork,1134,crushing discoveredCheck doubleCheck fork middlegame short
3f7Ae,2k5/pp4bp/2p3p1/2P2pB1/1P6/P7/2r1r1PP/3R2RK w - - 2 30,f8g7,d1d8,58,white,Clearance,1328,advantage clearance defensiveMove endgame short
3fu91,8/8/p5Bp/4k1pP/b1p1PpP1/P1P2K2/1P6/8 b - - 3 42,f5g6,a4d1,83,black,Skewer,1081,bishopEndgame crushing deflection endgame master short skewer
3hKpk,8/8/8/8/8/8/R4prp/5k1K w - - 8 79,e2f1,a2a1,156,white,Deflection,1051,crushing deflection endgame rookEndgame short
3rluw,5r1k/p5pp/6b1/3Qq3/P3P3/3B3P/6P1/4R2K b - - 2 33,c6d5,e5d5,65,black,Capturing the defender,1291,advantage capturingDefender endgame master short
3sgBr,6k1/5pp1/4p1bp/8/3P4/BR1n1PP1/2p1K2P/8 b - - 2 41,f2e2,c2c1n,81,black,Fork,1354,advancedPawn crushing endgame fork promotion short underPromotion
3tm7U,r6r/ppk3p1/5n2/3pb3/6B1/B1P2P2/P4PK1/RN3R2 b - - 1 23,d7g4,h8h2,45,black,Clearance,1399,clearance crushing defensiveMove middlegame short
43YPU,r3kb2/1b1n1p2/p3p1pB/2ppP3/1p1P1Q2/7r/PPP1N3/1NK2R2 b q - 0 19,g5h6,f8h6,37,black,Pin,1154,crushing middlegame pin short
46JqL,r1b1kb1r/1pqnppp1/p2p4/3P3p/PP1N4/7P/2P2PP1/R1BQKB1R b KQkq - 0 10,b2b4,c7c3,19,black,Fork,1092,crushing fork interference opening short
48HFV,4R3/7p/2r1p2k/3pbB2/5p2/1P3P1P/2PK4/8 b - - 0 35,d3f5,e5c3,69,black,Intermezzo,1035,advantage endgame intermezzo short
48KTc,3r2k1/pp4pp/2p1p1b1/2n1Pp2/1PB2B2/7P/P1P3P1/R5K1 w - - 1 24,f8d8,b4c5,46,white,Hanging piece,1393,advantage capturingDefender endgame hangingPiece short
49nsN,r6r/ppp1k1p1/3pBq1p/8/2Q1P3/2N5/PP3bPP/n2K1R2 w - - 2 18,f8e7,c3d5,34,white,Fork,1259,crushing discoveredAttack discoveredCheck fork middlegame short
49qc4,rnb1k2r/ppp2ppp/1bq5/4p3/1P6/P1N1P3/3P1PPP/R1BQKB1R w KQkq - 3 10,d5c6,f1b5,18,white,Pin,1186,crushing opening pin short
4F6Ea,2kr3r/pbpp1Q2/1p2p2p/4n1p1/1b1PB2q/4B3/PPP1NPRP/3R2K1 w - - 0 17,c6e5,e4b7,32,white,Intermezzo,1377,advantage intermezzo master middlegame queensideAttack short
4GUAy,8/PR6/8/5p1p/r4k2/7P/8/7K w - - 0 48,f6f5,b7b4,94,white,Deflection,1235,advancedPawn advantage deflection endgame promotion rookEndgame short
4HLO0,r6r/pppq1p2/1b1p2k1/n2Pp1Bn/4PPbP/2PB2Q1/PP4P1/RN3R1K w - - 1 18,f6h5,f4f5,34,white,Interference,1363,advantage interference middlegame short
4I9YW,4bb2/2k4p/4p3/pp1pPp1B/1P1P3K/P3P3/6PP/2B5 b - - 1 34,e2h5,f8e7,67,black,Deflection,1128,advantage bishopEndgame deflection endgame short
4JncI,3r2k1/ppp2ppp/2n2b2/8/4B1b1/P3PN2/1P1B1PPP/1R4K1 b - - 1 16,c1d2,g4f3,31,black,Capturing the defender,1144,advantage capturingDefender middlegame short
4LJxn,rn2kbnr/1bqp1ppp/p3p3/1p6/3QPP2/2NB1N2/PPP3PP/R1B2RK1 b kq - 3 8,e1g1,f8c5,15,black,Pin,1073,advantage master masterVsMaster opening pin short
4Q2LO,r2q1rk1/p1pp1pp1/1pn1pn1p/6B1/Q3b3/PBP2N2/1PP2PPP/R3K2R w KQ - 0 11,h7h6,g5f6,20,white,Capturing the defender,1178,advantage capturingDefender middlegame short
4QMVd,2n3r1/p6k/1p1p4/4p3/4Ppr1/2P2K2/PP1R4/3R1N2 w - - 0 29,g7g4,d2h2,56,white,Interference,1247,crushing endgame interference master short
4SBpn,6rk/pp3p2/4p3/2PpP3/1P3pr1/P4R2/7K/6R1 w - - 0 34,g6g4,f3h3,66,white,Intermezzo,1071,crushing endgame interference intermezzo master rookEndgame short
4VanX,rnb1k2r/pp2nppp/4p3/q2pP3/P2N4/2P5/2P2PPP/R1BQKB1R b KQkq - 0 9,f3d4,a5c3,17,black,Fork,1093,crushing fork interference master opening short
4ZPcU,r1r3k1/p3Qppp/2p1pnq1/4n3/7R/1BN1B2P/PPP2PP1/5RK1 b - - 0 18,b7e7,e5f3,35,black,Pin,1073,advantage kingsideAttack middlegame pin short
4j1gH,2r4r/2B1qkbp/1Q2ppp1/pN1p4/5P2/3R1P2/PPP4P/7K w - - 2 35,g8f7,b5d6,68,white,Fork,1033,crushing fork interference middlegame short
4l41v,1k1r2r1/p1n5/1p1pB2p/2pP4/P1P5/3PqQ2/7P/1R3R1K b - - 1 27,f7f3,g8g1,53,black,Deflection,1205,crushing deflection kingsideAttack middlegame short
4socJ,r1b1kb1r/pp3pp1/4pP1p/q1pp4/1n5B/3P1N2/P1P1BPPP/RN1QK2R b KQkq - 0 9,e5f6,b4c2,17,black,Discovered check,1141,advantage discoveredCheck doubleCheck middlegame short
4vC6A,r4rk1/3qbpp1/p1p2n1p/3p1Q2/4p2B/4P3/PPP1NPPP/R4RK1 w - - 1 17,d8d7,f5d7,32,white,Capturing the defender,1187,advantage capturingDefender middlegame short
51CYB,2r5/2r5/1p2k1p1/p3p3/P1b4R/5B2/5KP1/2R5 w - - 4 41,d5e6,f3g4,80,white,Skewer,1172,crushing endgame master short skewer
57tjL,r4rk1/2pbb3/p2p2q1/3PP3/Pp1NR1pp/1P4N1/1BP2P1P/R2Q2K1 b - - 0 23,f4e5,h4g3,45,black,Capturing the defender,1159,capturingDefender crushing master middlegame short
5ED2f,8/p3pk2/Q5p1/1p5r/3q4/4R1K1/PP3PP1/8 w - - 6 37,d1d4,a6e6,72,white,Deflection,1195,advantage deflection endgame master short
